名字,tag,任务内容,积分值
自习风险盲盒投资,智育,小组抽取一个自习地点（仙林杜厦图书馆/择善楼/鼓楼老图书馆/万象书坊等），带上专业课书或作业学习一个下午，并在群内发出不露脸的风景照和真实体验打分,2
文理互补错题交换,智育,每人拿出自己最绕不过去的一道错题（代码bug/高数公式/金融计算题等），由组内对方书院成员尝试写出解题思路或白话解释，拍成“学习小卡片”发在群里,3
生活好物/代码神器安利,智育,每人分享一个自己专业常用的学习神器或提神零食（文具/软件/早起闹钟等），称为“来自开甲/行知学习党的生存刚需推荐”,2
仙林鼓楼校校通散步,智育,小组共同乘坐校车或地铁进行一次跨校区考察，进入仙林校区参观杜厦图书馆/校史馆/天文台外围，拍照分享,4
技能交换五分钟,智育,开启视频/语音/群播，每人用五分钟搞一场沉浸式黑话教学（如“文科生说清边际递减”“理科生解释搜索引擎”等）,3
四六级/期末复习搭子盲盒,智育,抽取一名无接触学习的组员，双方约定一小时视频连麦或开腾讯会议直播写题/背单词，互相监督复习,2
AI胡乱生成PPT盲盒路演,智育,用AI工具快速生成5页PPT，主题随机抽取（如“螺蛳粉的经济影响”“计算机和古琴怎样结合”），在南青格庐/空教室脱稿演讲,4
图书馆夜读两小时,智育,小组约定在鼓楼图书馆或教学楼开放自习至闭馆，安静自习两小时后在教学楼下合影打卡,3
校园跑盲盒惊喜,体育,抽取校园跑公里数（2.4公里/4公里/5.2公里），小组共同完成一次集体校园跑，沿北大楼—汉口路—校门口跑出风,3
操场接力跑FUN恩仇,体育,小组共同完成一次4×400米段子式接力，不需要体育考试，但必须一起冲过终点线并喊出“我们很弱但我们很快乐”,4
景点散步路线图,体育,小组集体步行到校外经典散心地（陶谷新村/金银街/颐和路/玄武湖等），打卡散步一小时并拍下美景组图，附上“citywalk治愈上学综合症”文案,2
操场集体跳绳/踢毽子怀旧局,体育,找一处操场，集齐五人以上尝试“跳绳小团体挑战”，玩两人三足或集体绳,2
跑步废物聊天配速小组,体育,相约绕鼓楼校区慢走一小时边跑边聊，只要全程不跑崩，坚持聊完专业/社团/八卦即可,2
占领健身房一小时,体育,小组成员一起预约方肇周体育馆或鼓楼健身区域，打卡完成一个健身动作或集体做操,4
夸夸接龙暖心卡,德育,每位成员抽一位组内同学写一句认真的好评/祝福/鼓励理由，私发给组长汇总成“夸夸接龙”发回群内,2
垃圾话漂流瓶,德育,每人写一封匿名小纸条（疲惫/脆弱/小委屈/开心事），放进小纸箱或漂流瓶，一周后当众对照纸条朗读，营造情绪接纳空间,3
民国建筑导览员体验,德育,小组在鼓楼校区大礼堂、北大楼、校史博物馆实地行走，每人轮流为一个地标建筑做一分钟即兴讲解,4
志愿服务盲盒,德育,小组共同参与一次校内外志愿服务（图书馆周末协助、社区陪伴老人、校青协活动等）,5
倾听晚安电台,德育,每位成员录制一条“晚安语音”（今日小确幸/喜欢的书里的一句话），放给组内其他人,2
校园神奇动物通缉令,美育,小组集体探索校园各处，拍下南大鼓楼的猫/鸟/虫/花朵等，拼成电子明信片发在组内，评选“最治愈野生动物时刻”,3
传画接龙脑洞赛,美育,每个人画前一个人描述的内容（只给前一个人看纸条/私信），接龙创作6格漫画故事，最后在群内展示全链条,3
定格校园vlog闪现,美育,小组随机选择一个校园角落（北大楼草坪/汉口路路口/银杏树下）拍摄一段无配音纯景色的十秒短视频，配上诗句或歌词,3
一起看电影/小型摄影展,美育,相约看一部青春主题电影/美术馆展/草坪投影电影夜，看完后每人发一张最触动的截图+一句短评,3
传话游戏/故事接龙,美育,轮流以一句话续写故事开头（如“那天我在金银街碰到了一个卖代码的算命老头……”），串成无厘头微型小说,2
半日市集文艺扫街,美育,小组一起去金银街/陶谷新村/老门东/夫子庙等市集，每人找到一件“治愈小物”（书签/花/旧书/明信片）并分享推荐理由,4
20元穷鬼美食探店盲盒,劳育,抽取探店类别（面条/锅贴/烤串/馄饨），小组一起前往新街口或汉口路附近店铺品尝低价美食，完成《南大鼓楼美食寻宝图》,4
宿舍/书桌收纳大作战,劳育,拍下自己书桌或宿舍乱中有序/整洁版前后对比，分享最自豪的收纳思路或解压好物,2
鼓楼附近吃放心午餐,劳育,前往南大周边平价店（青岛路小店/人全到饭店/一食堂馄饨/三食堂湘赣窗口），小组一起吃午餐并分享探店心得,3
咖啡自由大挑战,劳育,小组抽一位成员帮ta成功点开咖啡小程序请自己喝一杯，或组团去南台巷/上海路独立咖啡馆探店一杯,3
期末鼓励小零食漂流瓶,劳育,小组每人寄一份低糖/低卡/自己爱吃的小零食（巧克力/糖果），交接时贴上手写便利贴作为“期末鼓励字条”,2
深夜食堂盲盒操作,劳育,在寝室或空闲教室，分享本周末最治愈/最崩溃的时刻，配合一起吃外卖或做简易酸奶碗/泡面,3
